=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2022-11-7_14-0-48
====================================================================================
14:0:48 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
14:0:48 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
14:0:48 | [PermissionManager] Perm (FreeCamera) has been registered!
14:0:48 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
14:0:48 | [PermissionManager] Perm (MenuItemManager) has been registered!
14:0:48 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
14:0:48 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
14:0:48 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
14:0:48 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
14:0:48 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
14:0:48 | [PermissionManager] Perm (MenuServerManager) has been registered!
14:0:48 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
14:0:48 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
14:0:48 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
14:0:48 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
14:0:48 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
14:0:48 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
14:0:48 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
14:0:48 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
14:0:48 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
14:0:48 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
14:0:48 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
14:0:48 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
14:0:48 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
14:0:48 | [PermissionManager] Perm (MenuObjectManager) has been registered!
14:0:48 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
14:0:48 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
14:0:48 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
14:0:48 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
14:0:48 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
14:0:48 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
14:0:48 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
14:0:48 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
14:0:48 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
14:0:48 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
14:0:48 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
14:0:48 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
14:0:48 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
14:0:48 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
14:0:48 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
14:0:48 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
14:0:48 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
14:0:48 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
14:0:48 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
14:0:48 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
14:0:48 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
14:0:48 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
14:0:48 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
14:0:48 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
14:0:48 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
14:0:48 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
14:0:48 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
14:0:48 | [PermissionManager] Perm (MenuBansManager) has been registered!
14:0:48 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
14:0:48 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
14:0:48 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
14:0:48 | [PermissionManager] Perm (MenuWebHooks) has been registered!
14:0:48 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
14:0:48 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
14:0:48 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
14:0:48 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
14:0:48 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
14:0:48 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
14:0:48 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
14:0:48 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
14:0:48 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
14:0:48 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
14:0:48 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
14:0:48 | [PermissionManager] Perm (EspToolsMenu) has been registered!
14:0:48 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
14:0:48 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
14:0:48 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
14:0:48 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
14:0:48 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
14:0:48 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
14:0:48 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
14:0:48 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
14:0:48 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
14:0:48 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
14:0:48 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
14:0:48 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
14:0:48 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
14:0:48 | [PermissionManager] Adding Super Admin (76561197962686368)
14:0:48 | [PermissionManager] Adding Super Admin (76561197968549981)
14:0:48 | [PermissionManager] Adding Super Admin (76561198894531417)
14:0:48 | [PermissionManager] Loaded UserGroups.json
14:0:48 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
14:0:48 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
14:0:48 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
14:0:48 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
14:0:48 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
14:0:48 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
14:0:48 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
14:0:48 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
14:0:48 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
14:0:48 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
14:0:48 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
14:0:48 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
14:0:48 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
14:0:48 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
14:0:48 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
14:0:48 | Building Sets Loaded: 0
14:2:35 | Player "[FOG]Fod" (steamId=76561197962686368) connected to server!
14:3:14 | Player "[FOG]Fod" (steamId=76561197962686368) connected to server!
14:3:20 | "[FOG]Fod" (steamid=76561197962686368) gave godmode to (steamid=76561197962686368)
14:3:48 | "76561197962686368" (steamid=76561197962686368) teleported to (pos=<3843.270020, 11.614750, 1363.550049>)
14:3:48 | "[FOG]Fod": (steamid=76561197962686368) teleported to (pos=3843.27,0,1363.55)
14:4:14 | "[FOG]Fod" (steamid=76561197962686368) teleported to crosshair (pos=<3807.562256, 10.870002, 1317.252075>)
14:4:14 | "[FOG]Fod" (steamid=76561197962686368) teleported to crosshair (pos=<3809.261963, 10.870003, 1323.718384>)
14:4:15 | "[FOG]Fod" (steamid=76561197962686368) teleported to crosshair (pos=<3810.961670, 10.870000, 1330.189697>)
14:4:15 | "[FOG]Fod" (steamid=76561197962686368) teleported to crosshair (pos=<3812.660400, 10.869999, 1336.655884>)
14:4:15 | "[FOG]Fod" (steamid=76561197962686368) teleported to crosshair (pos=<3814.423584, 10.870002, 1343.161865>)
14:4:15 | "[FOG]Fod" (steamid=76561197962686368) teleported to crosshair (pos=<3816.728760, 10.956757, 1349.944336>)
14:4:15 | "[FOG]Fod" (steamid=76561197962686368) teleported to crosshair (pos=<3818.833252, 11.184063, 1356.124878>)
14:4:16 | "[FOG]Fod" (steamid=76561197962686368) teleported to crosshair (pos=<3820.941162, 11.410440, 1362.315796>)
14:4:16 | "[FOG]Fod" (steamid=76561197962686368) teleported to crosshair (pos=<3823.165283, 11.558390, 1368.852417>)
14:4:16 | "[FOG]Fod" (steamid=76561197962686368) teleported to crosshair (pos=<3825.495850, 11.633807, 1375.703247>)
